说明：题型编号，数据结构用J表示，数据库原理用K表示，网络用W表示，软件工程用R表示，操作系统用Z表示，应用基础用C表示，多媒体技术用D表示，硬件部分用Y表示，移动互联应用用H表示，S表示数据表示和计算，L表示离散数学，Q表示软件知识产权；C语言用1表示，C++语言用2表示，Java语言用3表示，JavaScript用4表示，C#用5表示；难度用0和1表示，0表示简单，1表示困难。,,,,,,,,
题号,题型,题目,A,B,C,D,答案,难度
2835,3,"对下列程序的叙述中，正确的是：
　　1:public class X extends Thread implements Runnable{
　　2:public void run（）{
　　3: System.out.println（""this is run（）""）;
　　4:}
　　5:public static void main（String args[]）{
　　6:Thread t=new Thread（new X（））;
　　7:t.start（）;
　　8:}
　　9:} ",第1行会产生编译错误,第6行会产生编译错误,第6行会产生运行错误,程序正常运行,D,1
2836,3,下列关于Applet的叙述中，正确的是：,Applet不仅可以嵌入到浏览器中运行，还可以独立运行,Applet的主类要定义为Applet类或JApplet类的子类,同一个页面中的Applet之间不能通信,Applet不支持多线程,B,0
2837,3,当一个Applet所在的Web页面被其他页面覆盖后，不可能被调用的Applet方法是：,destroy(),init(),stop(),start(),A,0
2838,3,"要向Applet传递参数，应该在下列drawing.html文件的下划线处填入的选项是：
……
<applet code=DrawImage.class width=100 height=100>
______
</applet>
……","<param image,""flower.gif"">",<param image value= flower .gif>,"<param name= image value=""flower .gif"">","<param name=""image"" value=""flower.gif"">",D,1
2839,3,Java中定义常量的保留字是：,const,final,finally,native,B,0
2840,3,下列有关Java布尔类型的描述中，正确的是：,一种基本的数据类型，它的类型名称为boolean,用int表示类型,其值可以赋给int类型的变量,有两个值，1代表真，0代表假,A,0
2841,3,Java中所有类的父类是：,Father,Lang,Exception,Object,D,0
2842,3,"下列程序段的输出结果是：
　　int data=0;
　　char k='a',p='f';
　　data=p-k;
　　system.out.println(data); ",0,a,f,5,D,1
2843,3,下列数中为八进制的是：,27,0x25,026,028,C,0
2844,3,下列方法中，不属于Throwable类的方法是：,printMessage,getMessage,toString,fillStackTrace,A,1
2845,3,"下列程序的输出结果是：
　　public class Test{
　　public static void main(String[] args){
　　int [] array={2,4,6,8,10};
　　int size=6;
　　int result=-1;
　　try{
　　for(int i=0;i<size && result==-1;i++)
　　if(array[i]==20) result=i;
　　}
　　catch(ArithmeticException e){
　　System.out.println(""Catch---1"");
　　catch(ArrayIndexOutOfBoundsException e){
　　System.out.println(""Catch---2"");
　　catch(Exception e){
　　System.out.println(""Catch---3"");
　　}
　　}
",Catch---1,Catch---2,Catch---3,以上都不对,B,1
2846,3,下列包中，包含JOptionPane类的是：,javax.swing,java.lang,java.util,java.applet,A,0
2847,3,下列选项中，与成员变量共同构成一个类的是：,关键字,方法,运算符,表达式,B,0
2848,3,"下列程序的功能是将一个整数数组写入二进制文件。在程序的下划线处应填入的选项是：
　　import java.io.*;
　　public class XieShuzu{
　　public static void main(String[] a){
　　int [] myArray={10,20,30,40};
　　try{
　　DataOutputStream dos=
　　new DataOutputStream(new FileOutputStream(""ints.dat""));
　　for(int i=0;i
　　dos. _____(myArray[i]);
　　dos.close();
　　System.out.println(""已经将整数数组写入二进制文件：ints.dat"");
　　}catch(IOException ioe)
　　{System.out.println(""IO Exception"");}
　　}
　　} ",writeArray,writeByte,writeInt,writeDouble,C,1
2849,3,Java中的抽象类Reader和Writer所处理的流是：,图像流,对象流,字节流,字符流,D,0
2850,3,下列叙述中，错误的是：,内部类的名称与定义它的类的名称可以相同,内部类可用abstract修饰,内部类可作为其他类的成员,内部类可访问它所在类的成员,A,0
2851,3,用于在子类中调用被重写父类方法的关键字是：,this,super,This,Super,B,0
2852,3,"下列Java语句从指定网址读取html文件，在下划线处应填上的选项是： 
　　Reader in=new____(new URL(urlString).openStrream());",Reader,DataOutputStream,ByteArrayInputStream,InputStreamReader,D,1
2853,3,下列不属于表达式语句的是：,++i;,--j;,b#a;,b*=a;,C,0
2854,3,下列为窗口事件的是：,MouseEvent,WindowEvent,ActionEvent,KeyEvent,B,0
2855,3,用鼠标点击菜单项(MenuItem)产生的事件是：,MenuEvent,ActionEvent,KeyEvent,MouseEvent,B,1
2856,3,下列不属于逻辑运算符的是：,!,||,&&,|,D,0
2857,3,当使用SomeThread t=new SomeThread()创建一个线程时，下列叙述中正确的是：,SomeThread类是包含run()方法的任意java类,SomeThread类一定要实现Runnable接口,SomeThread类是Thread类的子类,SomeThread类是Thread类的子类并且要实现Runnable接口,C,1
2858,3,"在程序的下划线处应填入的选项是：
　　public class Test_____{
　　public static void main(String args[]){
　　Test t = new Test();
　　Thread tt = new Thread(t);
　　tt.start();
　　}
　　public void run(){
　　for(int i=0;i<5;i++){
　　System.out.println(""i=""+i);
　　}
　　}
　　}",implements Runnable,extends Thread,implements Thread,extends Runnable,A,1
2859,3,"为了支持压栈线程与弹栈线程之间的交互与同步，在程序的下划线处依次填入的语句是： 
　　public class IntStack{
　　private int idx=0;
　　private int[] data=new int[8];
　　public ______ void push(int i){
　　data[idx]=i;
　　idx++;
　　_____
　　}
　　......
　　} ","synchronized()
notify()","synchronized()
this.wait()","synchronized()
this.notify()","synchronized()
sleep()",C,1
2860,3,如果线程正处于阻塞状态，不能够使线程直接进入可运行状态的情况是：,sleep()方法的时间到,获得了对象的锁,线程在调用t.join()方法后，线程t结束,wait()方法结束,C,1
2861,3,当一个Applet被加载，后续对Applet生命周期方法的调用中，可能存在的次序是：,"start(),stop(),destroy()","init(),start(),stop(),start(),stop(),destroy()","start(),init(),stop(),destroy()","init(),start(),destroy()",A,0
2862,3,在HTML文件的<applet>标志中作为可选属性的是：,Applet主类的文件名,Applet显示区域的宽度,Applet主类的路径,Applet显示区域的高度,C,1
2863,3,如果应用程序要在Applet上显示输出，则必须重写的方法是：,Graphics.drawString(),repaint(),paint(),update(),C,0
2864,3,"语句""Hello"".equals(""hello"");的正确执行结果是：",TRUE,FALSE,0,1,B,0
2865,3,下列关于Java 源程序结构的论述中，正确是：,一个文件包含的import 语句最多1 个,一个文件包含的public 类最多1 个,一个文件包含的接口定义最多1 个,一个文件包含的类定义最多1 个,B,0
2866,3,下列不属于Java 关键字的是：,this,super,finally,NULL,D,0
2867,3,"下列代码的执行结果是：
public class Test {
public static void main(String[] args) {
int[] x={0,1,2,3};
for(int i=0;i<3;i+=2){
try{
System.out.println(x[i+2]/x[i]+x[i+1]);
}catch(ArithmeticException e){
System.out.println(""error1"");
}catch(Exception e){
System.out.println(""error2"");
}
}
}
}",error1,error2,"error1
error2","2
error2",C,1
2868,3,下列整数的定义中，错误的是：,int f=3.14.;,int a=012;,int i=189;,int d-0x123;,A,0
2869,3,"要得到某目录下的所有文件名，在下列代码的下划线处应填入的内容是（两个下划线的内容相同）：
_____ pathname = new _____(args[0]);
String[] filename = pathname.list();",FileInputStream,FileOutputStream,File,RandomAccessFile,C,1
2870,3,"在下列代码的下划线处应填入的内容是：
public class FirstSample {
public static void main(_____ args[]) {
System.out.println(""你好！"");
}
}
}",staff,double,int,String,D,0
2871,3,"Object 类中的方法public int hashCode(),在其子类覆盖该方法时，其方法修饰符可以是：",protected,public,private,缺省,B,1
2872,3,"下面代码中的内部类名是：
import java.awt*;
import javax.swing.*;
class TalkingClock {
public static void main(int interval,final boolean beep) {
ActionListener listener = new ActionListener(){
public void actionPerformed(ActionEvent event){
............
}
}
Timer t = new Timer(interval,listener);
t.start();
}
}",Timer,ActionListener,listener,匿名,D,1
2873,3,"已知zipname 是一个压缩文件名，则zipname 在下列代码中出现的正确位置是：
ZipInPutStream zin =new ZipInPutStream(new FileInPutStream(①));
ZipEnatry entry;
While((entry = zin.getNextEntry(②))!=null{
fileCombo.addItem(entry.getName(③));
zin.closeEntry(④);
}
Zin.close();",①,②,③,④,A,1
2874,3,"下列代码的执行结果是：
int numbers[]=new int[6];
for(int i=1;i<numbers.length;i++){
numbers[i] = i-1;
System.out.print(numbers[i]+"" "");
}",0 1 2 3 4 5,1 2 3 4 5 6,0 1 2 3 4,1 2 3 4 5,C,1
2875,3,"Java API 中支持线程的类或接口是：
Ⅰ.java.lang.Thread Ⅱ.java.lang.Runnable
Ⅲ.java.lang.ThreadGroup Ⅳ.java.io.Serializable","Ⅰ,Ⅱ","Ⅰ,Ⅱ,Ⅲ","Ⅰ,Ⅱ,Ⅳ","Ⅰ,Ⅱ,Ⅲ,Ⅳ",D,1
2876,3,下列关于Test 类的定义中，正确的是：,"class Test implements Runnable {
public void run(){}
public void someMethod(){}
}","class Test implements Runnable {
public void run();
}
","class Test implements Runnable {
public void someMethod();
}
","class Test implements Runnable {
public void someMethod(){}
}
",A,1
2877,3,下列方法被调用后，一定使调用线程改变当前状态的是：,notify(),yield(),sleep(),isAlive(),C,0
2878,3,"在堆栈类SharedStack 的定义中，为了保证堆栈在并发操作中数据的正确性，应在下划线处填入的修饰符是（两个下划线的填写内容相同）：
public class SharedStack {
int idx=0;
char[] data= new char[10];
_____ synchronized void push(char c) {.....}
_____ synchronized void pop(){.....}
}",public,不使用修饰符,private,protected,A,1
2879,3,"下列代码编译或执行结果的描述中，正确的是：
class Test{
public static void main(String args[]){
TestThread pm1 = new TestThread(""One"");
pm1.start();
TestThread pm2 = new TestThread(""Two"");
pm2.start();
}
}
class TestThread extends Thread{
private String sTname="""";
TestThread(String s){
sTname = s;
}
public void run(){
for(int i=0;i<2;i++){
try {
sleep(1000);
} catch (InterruptedException e) {}
System.out.println(sTname+"" "");
}
}
}",不能通过编译，TestThread 类中不能定义变量和构造方法,输出One One Two Two,输出Two One One Two,选项B 或C 都有可能出现,D,1
2880,3,下列关于Applet 的叙述中，正确的是：,为了使Applet 在浏览器中运行，需要在HTML 文件中嵌入相应的Applet 类,Applet 不能使用从外部接收参数,Applet 不能使用javac 命令进行编译,java Application 与Applet 都必须包含main()方法,A,1
2881,3,"下列代码的下划线处应填入的方法名是：
import java.applet.*;
import java.awt.*;
public class Hello extends Applet {
public void _____(Graphics g){
g.drawString(""How are you!"", 10, 10);
}
}",repaint,println,paint,show,C,1
2882,3,下列变量的定义中，错误的是：,int x=3;,float f;d;,"String s=""Hello!""",boolean b=true;,B,0
2883,3,"下列代码的执行结果是：
int length = ""Hello"".length();
System.out.println(length);",5,2,10,6,A,0
2884,3,"下列代码的编译或执行结果是：
public class MyVal {
public static void main(String[] args) {
MyVal m = new MyVal();
m.aMethod();
}
public void aMethod(){
boolean [] b = new Boolean [5];
System.out.println(b[0]);
}
}",1,null,0,编译错误,D,1
2885,3,若变量a 是String 类型的数据，那么表达式(a+a)的类型是：,char,String,int,long,B,0
2886,3,Component 类中用于刷新组件的方法是：,getFont,getName,update,paint,C,0
2887,3,鼠标在窗口中移动时，产生的事件是：,ActionEvent,PrintEvent,KeyEvent,MouseEvent,D,0
2888,4,"有以下 ES6 代码
function * gen() { 
yield 1;
yield 2;
yield 3;
}
下面选项描述正确的是哪个？",gen()执行后返回 2, gen()执行后返回 undefined,gen()执行后返回一个 Generator 对象,gen()执行后返回 1,C,1
2889,4,"语句 var arr=[a,b,c,d];执行后，数组 arr 中每项都是一个整数，下面得到其中最大整数语句不正确的是哪几项？",Math.max(arr),"Math.max(arr[0], arr[1], arr[2], arr[3])","Math.max.call(Math, arr[0], arr[1], arr[2], arr[3])","Math.max.apply(Math,arr)",A,0
2890,4,下面有关 html 的描述，不推荐的是？,在页面顶部添加 doctype 声明；,在 </head> ? <body> 中间插入 HTML 代码；,避免使用 <font> 标签；,使用 <table> 元素展现学生成绩表等数据。,B,0
2891,4,下面关于 CSS 布局的描述，不正确的是？,块级元素实际占用的宽度与它的 width 属性有关；,块级元素实际占用的宽度与它的 border 属性有关；,块级元素实际占用的宽度与它的 padding 属性有关；,块级元素实际占用的宽度与它的 background 属性有关。,D,0
2892,4,下列事件哪个不是由鼠标触发的事件（）,click,contextmenu,mouseout,keydown,D,0
2893,4,"现有如下 html 结构
<ul>
  <li>click me</li>
  <li>click me</li>
  <li>click me</li>
  <li>click me</li>
</ul>
运行如下代码：
var elements=document.getElementsByTagName('li'); 
var length=elements.length;
for(var i=0;i<length;i++){
  elements[i].onclick=function(){
  alert(i);
  }
}
依次点击 4 个 li 标签，哪一个选项是正确的运行结果（）?",依次弹出 1，2，3，4,依次弹出 0，1，2，3,依次弹出 3，3，3，3,依次弹出 4，4，4，4,D,1
2894,4,"function Foo(){
var i=0;
return function(){document.write(i++);
  }
}
var f1=Foo(), f2=Foo();
f1();
f1();
f2();
请问以上程序的输出是（）",010,012,000,011,A,1
2895,4,"以下 Js 程序的输出是什么（）
<SCRIPT LANGUAGE=""""JavaScript>
var a=""undefined""; var b=""false"";
var c="""";
function assert(aVar){ 
if(aVar)
  alert(true);
else
}
alert(false);
assert(a); 
assert(b); 
assert(c);
</SCRIPT>",true，true，true,true，true，false,false，false，true,false，false，false,B,1
2896,4,"JavaScript 定义 var a=""40"",var b=7,则执行 a%b 会得到()。",5,"""5""",undefined,null,A,0
2897,4,"var myObject = {
foo: ""bar"",
func: function() { var self = this;
console.log(this.foo); 
console.log(self.foo);
(function() {
console.log(this.foo); 
console.log(self.foo);
    }());
  }
};
myObject.func();
程序的输出是什么？",bar bar bar bar,bar bar bar undefined,bar bar undefined bar,undefined bar undefined bar,C,1
2898,4,下面有关 JavaScript 中 call 和 apply 的描述，错误的是？,"call 与 aplly 都属于 Function.prototype 的一个方法，所以每个 function 实例都有 call、
apply 属性",两者传递的参数不同，call 函数第一个参数都是要传入给当前对象的对象，apply 不是,apply 传入的是一个参数数组，也就是将多个参数组合成为一个数组传入,call 传入的则是直接的参数列表。call 方法可将一个函数的对象上下文从初始的上下文改变为由 thisObj 指定的新对象,B,1
2899,4,下面有关 javascript 常见事件的触发情况，描述错误的是？,onmousedown：某个鼠标按键被按下,onkeypress：某个键盘的键被按下或按住,onblur：元素获得焦点,onchange：用户改变域的内容,C,0
2900,4,下面有关 javascript 系统方法的描述，错误的是？,parseFloat 方法：该方法将一个字符串转换成对应的小数,isNaN 方法：该方法用于检测参数是否为数值型，如果是，返回 true，否则，反回 false。,escape 方法： 该方法返回对一个字符串编码后的结果字符串,eval 方法：该方法将某个参数字符串作为一个 JavaScript 执行,B,1
2901,4,下面符合一个有效的 javascript 变量定义规则的是？,_ 2,with,a bc,2a,A,0
2902,4,js 中字符串连接用那个比较高效？,a+=b,a = a+b,Array.join() ,Array.push(),C,0
2903,4,"请给出这段代码的运行结果（ ）
<SCRIPT LANGUAGE=""JavaScript"">
var bb = 1;
function aa(bb) {
bb = 2;
alert(bb);
};
aa(bb);
alert(bb);
</SCRIPT>",1 1,1 2,2 1,2 2,C,1
2904,4,"下面这个 JS 程序的输出是什么：
function Foo() {
var i = 0;
return function() { console.log(i++);
  }
}
var f1 = Foo(),
f2 = Foo();
f1();
f1();
f2();",0 1 0,0 1 2,0 0 0,0 0 2,A,1
2905,4,"在 文 件 /home/somebody/workspace/somemodule.js 中 第 一 行 引 用 了 一 个 模 块 ：
require(‘othermodule‘)，请问 required 的查找模块的顺序
A./home/somebody/workspace/mode_modules/othermodule/index.js
B./home/somebody/workspace/mode_modules/othermodule. Js
C.CORE MODULES named othermodule D./home/somebody/mode_modules/othermodule/index.js",CDAB,CBDA,CBAD,CDBA,C,1
2906,4,下面哪些方式不可以用于 javascript 延迟加载？,通过 ajax 下载 js 脚本，动态添加 script 节点,通过监听 onload 事件，动态添加 script 节点,直接将 script 节点放置在之前，这样 js 脚本就会在页面显示出来之后再加载,使用 script 标签的 defer 和 async 属性,C,0
2907,4,"如下代码输出的结果是什么：
console.log(1+ ""2""+""2"");
console.log(1+ +""2""+""2"");
console.log(""A""- ""B""+""2"");
console.log(""A""- ""B""+2);",122 122 NaN NaN,122 32 NaN NaN2,122 32 NaN2 NaN,122 32 NaN2 NaN2,C,1
2908,4,下面有关浏览器中使用 js 跨域获取数据的描述，说法错误的是？,域名、端口相同，协议不同，属于相同的域,js 可以使用 jsonp 进行跨域,通过修改 document.domain 来跨子域,使用 window.name 来进行跨域,A,0
2909,4,下列 js 可以让一个 input 的背景颜色变成红色的是,inputElement.style.backgroundColor = 'red'; ,inputElement.backgroundColor = 'red';,inputElement.style.backgroundColor = '#0000';,inputElement.backgroundColor = '#0000';,A,0
2910,4,下面哪些语句可以在 JS 里判断一个对象 oStringObject 是否为 String。,oStringObject instanceof String,typeof oStringObject == 'string' ,oStringObject is String,以上答案都不正确,A,0
2911,4,flash 和 js 通过什么类如何交互?,ExtensionContex ,ExternalInterface,IInterpolator ,FlexContentHolder,B,0
2912,4,JavaScript 中 document.getElementById 的返回值的类型为？,Array,Object,String ,Function,B,0
2913,4,下面哪些是 NodeJS 官方模块？,Querystring ,Request ,Async,Dns,D,0
2914,4,按照 CommonJS 规范，在任何模块代码的作用域下没有内置了以下哪些变量？,module,context ,require ,exports,B,0
2915,4,以下哪一条 Javascript 语句会产生运行错误？,var obj=( );,var obj=[ ];,var obj={ }; ,var obj=/ /;,A,0
2916,4,从四个选项选出不同的一个。,JQuery ,Node.js ,Prototype ,CommonJS,D,0
2917,4,蔺相如，司马相如；魏无忌，长孙无忌。下列哪一组对应关系与此类似() ,PHP，Python,JSP，servlet,Java，Javascript,C，C++,C,0
2918,4,要将页面的状态栏中显示“已经选中该文本框”，下列 JavaScript 语句正确的是（ ）,window.status=”已经选中该文本框”,document.status=”已经选中该文本框”,window.screen=”已经选中该文本框”,document.screen=”已经选中该文本框”,A,0
2919,4,使用 JavaScript 向网页中输出 hello，以下代码中可行的是（ ）,document.write(hello);,document.write(“hello”);,hello,document.read(“hello”);,B,0
2920,4,在表单(form1)中有一个文本框元素(fname)，用于输入电话号码，格式如：010-82668155， 要求前 3 位是 010，紧接一个“-”，后面是 8 位数字。要求在提交表单时，根据上述条件验证该文本框中输入内容的有效性，下列语句中，（ ）能正确实现以上功能。,"var str= form1.fname.value;
if(str.substr(0,4)!=”010-”|| str.substr(4).length!=8 || isNaN(parseFloat(str.substr(4)))) alert(“无效的电话号码！”);","var str= form1.fname.value;
if(str.substr(0,4)!=”010-” && str.substr(4).length!=8 && isNaN(parseFloat(str.substr(4)))) alert(“无效的电话号码！”);","var str= form1.fname.value;
if(str.substr(0,3)!=”010-”|| str.substr(3).length!=8 || isNaN(parseFloat(str.substr(3))))
alert(“无效的电话号码！”);","var str= form1.fname.value;
if(str.substr(0,4)!=”010-”&& str.substr(4).length!=8 &&
!isNaN(parseFloat(str.substr(4))))
alert(“无效的电话号码！”);",A,1
2921,4,关于正则表达式声明 6 位数字的邮编，以下代码正确的是（ ）,var reg = /\d6/;,var reg = \d{6}\;,var reg = /\d{6}/;,"var reg = new RegExp(“\d,6-”);",C,0
2922,4,关于 JavaScript 里的 xml 处理，以下说明不正确的是（ ）,Xml 是种可扩展标记语言，格式更规范，是作为未来 html 的替代,Xml 一般用于传输和存储数据，是对 html 的补充，两者的目的不同,在 JavaScript 里解析和处理 xml 数据时，因为浏览器的不同，其做法也不同,在 IE 浏览器里处理 xml，首先需要创建 ActiveXObject 对象,A,1
2923,4,以下哪个单词不属于 javascript 保留字：（）,with,parent,class,void,B,0
2924,4,请选择结果为真的表达式：（）,null instanceof Object,null===undefined,null==undefined,NaN==NaN,C,0
2925,4,foo 对象有 att 属性，那么获取 att 属性的值，以下哪些做法是不可以的：（）,foo.att,foo(“att”),foo*“att”+,foo*“a”+”t”+”t”+,B,0
2926,4,以下哪些不是 javascript 的全局函数：（）,escape ,parseFloat ,eval ,setTimeout ,D,0
2927,4,关于 IE 的 window 对象表述不正确的有：（）,window.opener 属性本身就是指向 window 对象,window.reload()方法可以用来刷新当前页面,window.location=”a.html”和 window.location.href=”a.html”的作用都是把当前页面替换成 a.html 页面,定义了全局变量 g；可以用 window.g 的方式来存取该变量,B,1
2928,4,在 IE 中要想获得当前窗口的位置可以使用 window 对象的()方法,windowX,screenX,screenLeft,windowLeft,C,0
2929,4,"分析下面的 JavaScript 代码段
a=new Array(2,3,4,5,6);
sum=0;输出结果是().
 for(i=1;i<a.length;i++ )
sum +=a[i]; document.write(sum);",20,18,14,12,B,1
2930,4,下面哪个选项中的对象与浏览列表有关(),"location,history","window,location","navigator,window","historylist,location",A,0
2931,4,下列（）标记符属性为布尔属性（即只需要指定属性的存在，而不用指定其值的标记符属性）。,noshade, width,bold,size,A,0
2932,4,在某一页面下载时，要自动显示出另一页面，可通过在<body>中使用下边的哪一事件来完成（）。,onload,onunload,onclick,onchange,A,0
2933,4,在 HTML 中，Location 对象的()属性用于设置或检索 URL 的端口号。,hostname,host,pathname,href,B,0
2934,4,下列 JavaScript 语句中，（）能实现单击一个按钮时弹出一个消息框。,"<BUTTON VALUE =""鼠标响应"" onClick=alert(""确定"")></BUTTON>","<INPUT TYPE=""BUTTON"" VALUE =""鼠标响应"" onClick=alert(""确定"")>","<INPUT TYPE=""BUTTON"" VALUE =""鼠标响应"" onChange=alert(""确定"")>","<BUTTON VALUE =""鼠标响应"" onChange=alert(""确定"")></BUTTON>",B,1
2935,4,在 HTML 页面中，下面关于 Window 对象的说法不正确的是（）。,Window 对象表示浏览器的窗口，可用于检索有关窗口状态的信息,Window 对象是浏览器所有内容的主容器,浏览器打开 HTML 文档时，通常会创建一个 Window 对象,如果文档定义了多个框架，浏览器只为原始文档创建一个 Window 对象，无须为每个框架创建 Window 对象,D,1
2936,4,"在 JavaScript 中,表单文本框(Text)不支持的事件包括( ). ",onBlur,onLostFocused,onFocus,onChange,B,0
2937,4,"分析下面的 javascript 代码：
x=11;
y=""number""; 
m= x+y ;
m 的值为（）。",11number,number,11,程序报错,A,1
2938,4,在 HTML 页面中使用外部 javaScript 文件的正确语法是（）。,<language=”JavaScript”src=”scriptfile.js”>,<script language=”JavaScript”src=”scriptfile.js”></script>,<script language=”JavaScript” =scriptfile.js></script>,< language src=” scriptfile.js”>,B,1
2939,4,"分析如下的 JavaScript 代码段, 则运行后在页面上输出( ) 
 var c=""10"",d=10;
document.write(c+d)",10,20,1010,页面报错,C,1
2940,4,"网页编程中，运行下面的 javascript 代码：
<script language=”javascript”> 
x=3;
y=2;
z=(x+2)/y; 
alert(z);
</script>
则提示框中显示（）。 ",2,2.5, 32/2,16,B,1
2941,4,"在 JAVAScript 中,命令按纽(Button)支持的事件包括()",onClick,onChange,onSelect,onSubmit,A,0
2942,4,"在当前页面的同一目录下有一名 show.js 的文件,  下列(",<script language= “show.js”></script>,<script type=”show.js”></script>,<script src=”show.js”></script>,<script runat=”show.js”></script>,C,1
2943,4,在 javaScript 中，可以使用 Date 对象的（）方法返回该对象的日期。,getDate,getYear,getMonth,gerTime,A,0
2944,4,那一个对象可以获得屏幕的大小(),window,Screen,navigator,screenX,B,0
2945,4,"分析下面的 JavaScript 语句：
Str = ""This apple costs ""+5 0.5;
执行后 str 的结果是（）。",This apple costs 50.5,This apple costs 5.5,"""This apple costs"" 50.5","""This apple costs ""5.5",A,1
2946,4,"setInterval(""alert('welcome');"",1000); 
这段代码的意思是()",等待 1000 秒后，再弹出一个对话框,等待 1 秒钟后弹出一个对话框,"语句报错,语法有问题",每隔一秒钟弹出一个对话框,D,0
2947,4,要求用 JavaScript 实现下面的功能：在一个文本框中内容发生改变后，单击页面的其他部分将弹出一个消息框显示文本框中的内容，下面语句正确的是（）,"<input type=""text"" onChange=""alert(this.value)"">","<input type=""text"" onClick=""alert(this.value)"">","<input type=""text"" onChange=""alert(text.value)"">","<input type=""text"" onClick=""alert(value)"">",A,0
2948,4,window 对象的 open 方法返回的是(),没有返回值,boolean 类型，表示当前窗口是否打开成功,返回打开新窗口的对象,返回 int 类型的值，开启窗口的个数,C,0
2949,4,"分析下面的 JavaScript 代码段：
function employee(name,code)
{
this.name=""wangli""; 
this.code=""A001"";
}
newemp=new employee(""zhangming"",'A002');
document.write(""雇员姓名:""+ newemp.name+ ""<br>"");
document.write(""雇员代号:""+ newemp.code +""<br>"");
输出的结果是().",雇员姓名:wangli 雇员代码:A001,雇员姓名：zhangming 雇员代码：A002,"雇员姓名：null, 雇员代码：null",代码有错误，无输出结果,A,1
2950,4,在 HTML 页面中，下面有关的 Document 对象的描述错误的是（）。,Document 对象用于检查和修改 HTML 元素和文档中的文本,Document 对象用于检索浏览器窗口中的 HTML 文挡的信息,Document 对象提供客户最近访问的 URL 的列表,Document 对象的 location 属性包含有关当前 URL 的信息,C,0
2951,4,"分析下面的 JavaScript 代码段：
a = new Array(""100"",""2111"",""41111"");
for(var i = 0;i < a.length;i )
{ 
document.write(a[i] """");
}
输出结果是（）。",100 2111 41111,1 2 3,0 1 2,1 2 4,A,1
2952,4,"分析下面的 JavaScript 代码段：
var a=15.49; 
document.write(Math.round(a)); 
输出的结果是().",15,16,15.5,15.4,A,1
2953,4,以下（）为 JavaScript 声明变量的语句。,dim x；,int x；,var x；,x;,C,0
2954,4,"分析如下的 JavaScript 代码片段, b 的值为( ) 
Var a = 1.5,b;
b=parseInt(a);",2,0.5,1,1.5,C,0
2955,4,声明一个对象，给它加上 name 属性和 show 方法显示其 name 值，以下代码中正确的是（),"var obj = [name:""zhangsan"",show:function(){alert(name);}];","var obj = ,name:""zhangsan"",show:”alert(this.name)”-;","var  obj = {name:""zhangsan"",show:function(){alert(name);}};","var obj = {name:""zhangsan"",show:function(){alert(this.name);}};",D,1
2956,4,下面的 JavaScript 语句中，（）实现检索当前页面中的表单元素中的所有文本框，并将它们全部清空,"for(var i=0;i< form1.elements.length;i++)
 { 
if(form1.elements[i].type==""text"")
 form1.elements[i].value="""";
}","for(var i=0;i<document.forms.length;i++)
 {
 if(forms[0].elements[i].type==""text"")
forms[0].elements[i].value="""";
}","if(document.form.elements.type==""text"") 
form.elements[i].value="""";","for(var i=0;i<document.forms.length; i++)
{
for(var j=0;j<document.forms[i].elements.length; j++)
 { 
  if(document.forms[i].elements[j].type==""text"")
  document.forms[i].elements[j].value="""";
 }
}",D,1
2957,4,写“Hello World”的正确 javascript 语法是？,"document.write(""Hello World"")"," ""Hello World""","response.write(""Hello World"")","(""Hello World"")",A,0
2958,4,JS 特性不包括(),解释性,用于客户端,基于对象,面向对象,D,0
2959,4,下列 JS 的判断语句中( )是正确的,if(i==0),if(i=0),if i==0 then,if i=0 then,A,0
2960,4,下列 JavaScript 的循环语句中( )是正确的,if(i<10;i++),for(i=0;i<10),for i=1 to 10,for(i=0;i<=10;i++),D,0
2961,4,下列的哪一个表达式将返回假,!(3<=1),(4>=4)&&(5<=2),(“a”==”a”)&&(“c”!=”d”),(2<3)||(3<2),B,1
2962,4,下列选项中，（）不是网页中事件,onclick,onmouseover,onsubmit,onpressbutton,D,0
2963,4,有语句“var  x=0;while( )  x+=2;”，要使 while 循环体执行 10 次，空白处的循环判定式应写为：(),x<10, x<=10,x<20,x<=20,C,0
2964,4,"JS 语句
var a1=10; var a2=20;
alert(“a1+a2=”+a1+a2)
将显示( )结果",a1+a2=30,a1+a2=1020,a1+a2=a1+a2,以上都不正确,B,1
2965,4,将字串 s 中的所有字母变为小写字母的方法是,s.toSmallCase(),s.toLowerCase(),s.toUpperCase(),s.toUpperChars(),B,0
2966,4,"以下( )表达式产生一个 0~7 之间(含 0,7)的随机整数.",Math.floor(Math.random()*6),Math.floor(Math.random()*7) ,Math. floor(Math.random()*8),Math.ceil(Math.random()*8),C,1
2967,4,产生当前日期的方法是(),Now();,Date(),new Date(),new Now(),C,0
2968,4,"如果想在网页显示后,动态地改变网页的标题()",是不可能的,通过 document.write(“新的标题内容”),通过 document.title=(“新的标题内容”),通过 document.changeTitle(“新的标题内容”),C,1
2969,4,"某网页中有一个窗体对象,其名称是 mainForm,该窗体对象的第一个元素是按钮,其名称是 myButton,表述该按钮对象的方法是()",document.forms.myButton,document.mainForm.myButton,document.forms[0].element[0],以上都可以,B,0
